Close,High,Low,Open,Volume
BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD
51.607696533203125,52.1386833190918,43.524192810058594,44.30907440185547,1256933735
51.05640411376953,52.911865234375,49.3870735168457,51.551883697509766,1006694242
52.242637634277344,52.677433013916016,49.95558547973633,51.05010223388672,714000888
55.92512512207031,57.0709114074707,51.60264205932617,52.242210388183594,940905214
67.84556579589844,68.46395874023438,56.01080322265625,56.01080322265625,1431595319
72.73359680175781,75.4018783569336,62.208126068115234,67.8546371459961,2114553792
68.59052276611328,74.612548828125,64.49789428710938,72.86821746826172,1493688265
79.83154296875,79.83154296875,67.85923767089844,68.52555847167969,2133574291
107.89927673339844,115.13184356689453,78.44632720947266,79.80702209472656,4425849540
129.73715209960938,148.07476806640625,107.70855712890625,107.70855712890625,7000323240
124.43425750732422,131.5356903076172,119.09626007080078,129.30523681640625,2809765027
136.94839477539062,140.2431640625,121.72706604003906,124.15943145751953,2981627650
133.4526824951172,138.4705352783203,125.72859954833984,136.92799377441406,2116751635
136.426513671875,138.7567596435547,128.73171997070312,133.47377014160156,2312597445
129.56788635253906,139.21975708007812,119.7349853515625,136.2767791748047,2414986848
130.05665588378906,133.28060913085938,126.79663848876953,129.7397918701172,1925775294
164.67010498046875,175.11614990234375,127.09211730957031,130.08013916015625,5236224271
195.93263244628906,199.45562744140625,163.27488708496094,165.01882934570312,6110987389
332.61602783203125,342.8796081542969,195.3857421875,195.98785400390625,17982945189
255.9537353515625,334.4550476074219,227.91375732421875,332.91845703125,9680520706
293.923583984375,307.5881042480469,250.5408172607422,254.53927612304688,8505963719
267.5097961425781,295.47857666015625,223.0193634033203,294.61236572265625,7885768925
230.99424743652344,268.5368347167969,190.41246032714844,267.3644104003906,8280752930
254.359130859375,280.08819580078125,214.52471923828125,231.12159729003906,7154121651
233.88595581054688,264.70513916015625,233.88595581054688,254.4676055908203,4059853073
221.68043518066406,238.7550048828125,210.31076049804688,235.27029418945312,4167145958
225.2494354248047,237.17942810058594,220.09939575195312,221.9809112548828,2755271254
209.57440185546875,228.1730499267578,195.85267639160156,225.44593811035156,3129699003
254.6299285888672,259.4910583496094,209.95130920410156,209.95130920410156,5008256561
239.5225372314453,264.1693115234375,228.6416473388672,254.95335388183594,5882262804
241.09136962890625,254.25363159179688,236.90875244140625,239.68898010253906,5827707431
229.945068359375,249.46560668945312,226.08494567871094,241.0454864501953,5580339595
226.37255859375,230.36663818359375,216.27261352539062,229.83529663085938,4969642573
